owner	model	notebook
我	openbmb/MiniCPM5-1B	79_openbmb__MiniCPM5-1B.ipynb
我	Qwen/Qwen2.5-Omni-3B	67_Qwen__Qwen2.5-Omni-3B.ipynb
我	Qwen/Qwen2.5-Omni-7B	48_Qwen__Qwen2.5-Omni-7B.ipynb
我	Qwen/Qwen2.5-VL-3B-Instruct	66_Qwen__Qwen2.5-VL-3B-Instruct.ipynb
我	Qwen/Qwen2.5-VL-7B-Instruct	52_Qwen__Qwen2.5-VL-7B-Instruct.ipynb
我	Qwen/Qwen3-0.6B	85_Qwen__Qwen3-0.6B.ipynb
我	Qwen/Qwen3-1.7B	75_Qwen__Qwen3-1.7B.ipynb
我	Qwen/Qwen3-14B	28_Qwen__Qwen3-14B.ipynb
我	Qwen/Qwen3-4B	60_Qwen__Qwen3-4B.ipynb
我	Qwen/Qwen3-4B-Instruct-2507	58_Qwen__Qwen3-4B-Instruct-2507.ipynb
我	Qwen/Qwen3-8B	39_Qwen__Qwen3-8B.ipynb
我	Qwen/Qwen3-ASR-0.6B	87_Qwen__Qwen3-ASR-0.6B.ipynb
我	Qwen/Qwen3-ASR-1.7B	74_Qwen__Qwen3-ASR-1.7B.ipynb
我	Qwen/Qwen3-Reranker-0.6B	86_Qwen__Qwen3-Reranker-0.6B.ipynb
我	Qwen/Qwen3-Reranker-4B	62_Qwen__Qwen3-Reranker-4B.ipynb
我	Qwen/Qwen3-Reranker-8B	44_Qwen__Qwen3-Reranker-8B.ipynb
我	Qwen/Qwen3-VL-2B-Instruct	71_Qwen__Qwen3-VL-2B-Instruct.ipynb
我	Qwen/Qwen3-VL-4B-Instruct	61_Qwen__Qwen3-VL-4B-Instruct.ipynb
我	Qwen/Qwen3-VL-8B-Instruct	40_Qwen__Qwen3-VL-8B-Instruct.ipynb
我	Qwen/Qwen3.5-0.8B	83_Qwen__Qwen3.5-0.8B.ipynb
我	Qwen/Qwen3.5-2B	69_Qwen__Qwen3.5-2B.ipynb
我	Qwen/Qwen3.5-4B	53_Qwen__Qwen3.5-4B.ipynb
我	Qwen/Qwen3.5-9B	36_Qwen__Qwen3.5-9B.ipynb
我	sapientinc/HRM-Text-1B	78_sapientinc__HRM-Text-1B.ipynb
我	sesame/csm-1b	81_sesame__csm-1b.ipynb
我	tencent/Hunyuan-MT-7B	50_tencent__Hunyuan-MT-7B.ipynb
我	tencent/HY-MT1.5-1.8B	73_tencent__HY-MT1.5-1.8B.ipynb
我	tencent/Hy-MT2-1.8B	72_tencent__Hy-MT2-1.8B.ipynb
我	Wan-AI/Wan2.2-T2V-A14B	29_Wan-AI__Wan2.2-T2V-A14B.ipynb
我	zai-org/GLM-4.1V-9B-Thinking	37_zai-org__GLM-4.1V-9B-Thinking.ipynb
我	zai-org/GLM-OCR	100_zai-org__GLM-OCR.ipynb
A同事	google/medgemma-1.5-4b-it	54_google__medgemma-1.5-4b-it.ipynb
A同事	google/medgemma-4b-it	57_google__medgemma-4b-it.ipynb
A同事	google/siglip2-base-patch16-naflex	124_google__siglip2-base-patch16-naflex.ipynb
A同事	google/siglip2-so400m-patch16-256	123_google__siglip2-so400m-patch16-256.ipynb
A同事	google/siglip2-so400m-patch16-naflex	122_google__siglip2-so400m-patch16-naflex.ipynb
A同事	google/translategemma-4b-it	59_google__translategemma-4b-it.ipynb
A同事	HuggingFaceTB/SmolLM3-3B	64_HuggingFaceTB__SmolLM3-3B.ipynb
A同事	HuggingFaceTB/SmolVLM-256M-Instruct	94_HuggingFaceTB__SmolVLM-256M-Instruct.ipynb
A同事	ibm-granite/granite-4.1-8b	45_ibm-granite__granite-4.1-8b.ipynb
A同事	ibm-granite/granite-docling-258M	91_ibm-granite__granite-docling-258M.ipynb
A同事	ibm-granite/granite-speech-4.1-2b	68_ibm-granite__granite-speech-4.1-2b.ipynb
A同事	jinaai/ReaderLM-v2	115_jinaai__ReaderLM-v2.ipynb
A同事	lightonai/LightOnOCR-2-1B	82_lightonai__LightOnOCR-2-1B.ipynb
A同事	microsoft/bitnet-b1.58-2B-4T	70_microsoft__bitnet-b1.58-2B-4T.ipynb
A同事	microsoft/FastContext-1.0-4B-SFT	56_microsoft__FastContext-1.0-4B-SFT.ipynb
A同事	microsoft/Phi-4-mini-instruct	111_microsoft__Phi-4-mini-instruct.ipynb
A同事	microsoft/Phi-4-multimodal-instruct	109_microsoft__Phi-4-multimodal-instruct.ipynb
A同事	microsoft/UserLM-8b	41_microsoft__UserLM-8b.ipynb
A同事	microsoft/VibeVoice-1.5B	76_microsoft__VibeVoice-1.5B.ipynb
A同事	microsoft/VibeVoice-ASR	125_microsoft__VibeVoice-ASR.ipynb
A同事	microsoft/VibeVoice-Realtime-0.5B	89_microsoft__VibeVoice-Realtime-0.5B.ipynb
A同事	moonshotai/MoonViT-SO-400M	90_moonshotai__MoonViT-SO-400M.ipynb
A同事	openai/gpt-oss-20b	27_openai__gpt-oss-20b.ipynb
A同事	openai/privacy-filter	117_openai__privacy-filter.ipynb
A同事	openai/whisper-large-v3-turbo	84_openai__whisper-large-v3-turbo.ipynb
A同事	openbmb/MiniCPM-o-2_6	107_openbmb__MiniCPM-o-2_6.ipynb
A同事	openbmb/MiniCPM-o-4_5	102_openbmb__MiniCPM-o-4_5.ipynb
A同事	openbmb/MiniCPM-SALA	106_openbmb__MiniCPM-SALA.ipynb
A同事	openbmb/MiniCPM-V-4.6	116_openbmb__MiniCPM-V-4.6.ipynb
A同事	openbmb/MiniCPM-V-4_5	104_openbmb__MiniCPM-V-4_5.ipynb
B同事	bosonai/higgs-audio-v2-generation-3B-base	65_bosonai__higgs-audio-v2-generation-3B-base.ipynb
B同事	allenai/olmOCR-7B-0225-preview	51_allenai__olmOCR-7B-0225-preview.ipynb
B同事	Tongyi-MAI/Z-Image-Turbo	95_Tongyi-MAI__Z-Image-Turbo.ipynb
B同事	BAAI/bge-m3	88_BAAI__bge-m3.ipynb
B同事	baidu/Qianfan-OCR	119_baidu__Qianfan-OCR.ipynb
B同事	deepseek-ai/DeepSeek-OCR	121_deepseek-ai__DeepSeek-OCR.ipynb
B同事	deepseek-ai/DeepSeek-OCR-2	120_deepseek-ai__DeepSeek-OCR-2.ipynb
B同事	deepseek-ai/DeepSeek-R1-0528-Qwen3-8B	42_deepseek-ai__DeepSeek-R1-0528-Qwen3-8B.ipynb
B同事	deepseek-ai/DeepSeek-R1-Distill-Llama-8B	43_deepseek-ai__DeepSeek-R1-Distill-Llama-8B.ipynb
B同事	deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B	77_deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B.ipynb
B同事	deepseek-ai/DeepSeek-R1-Distill-Qwen-7B	49_deepseek-ai__DeepSeek-R1-Distill-Qwen-7B.ipynb
B同事	deepseek-ai/Janus-Pro-7B	47_deepseek-ai__Janus-Pro-7B.ipynb
B同事	google/functiongemma-270m-it	93_google__functiongemma-270m-it.ipynb
B同事	google/gemma-3-12b-it	34_google__gemma-3-12b-it.ipynb
B同事	google/gemma-3-1b-it	80_google__gemma-3-1b-it.ipynb
B同事	google/gemma-3-270m	92_google__gemma-3-270m.ipynb
B同事	google/gemma-3-4b-it	55_google__gemma-3-4b-it.ipynb
B同事	google/gemma-3n-E4B-it	108_google__gemma-3n-E4B-it.ipynb
B同事	google/gemma-4-12B	31_google__gemma-4-12B.ipynb
B同事	google/gemma-4-12B-it	30_google__gemma-4-12B-it.ipynb
B同事	google/gemma-4-12B-it-assistant	32_google__gemma-4-12B-it-assistant.ipynb
B同事	google/gemma-4-12B-it-qat-q4_0-unquantized	33_google__gemma-4-12B-it-qat-q4_0-unquantized.ipynb
B同事	google/gemma-4-E2B	113_google__gemma-4-E2B.ipynb
B同事	google/gemma-4-E2B-it	112_google__gemma-4-E2B-it.ipynb
B同事	google/gemma-4-E4B	110_google__gemma-4-E4B.ipynb
B同事	google/gemma-4-E4B-it	63_google__gemma-4-E4B-it.ipynb
